,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
34,0,100,0.0010076045989990234,0.0008939315485756128,0.00039987564086914064,0.0004897462206847007,10,4,sigmoid,0.001,"{'C': 10, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.25,0.25,0.3157894736842105,0.5263157894736842,0.3157894736842105,0.3315789473684211,0.10171656889519835,55,0.3670886075949367,0.46835443037974683,0.4375,0.475,0.4625,0.44208860759493673,0.039587203629902666
31,0,100,0.001799297332763672,0.0009797060024261703,0.003924322128295898,0.005850100525775024,10,3,sigmoid,0.001,"{'C': 10, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.25,0.25,0.3157894736842105,0.5263157894736842,0.3157894736842105,0.3315789473684211,0.10171656889519835,55,0.3670886075949367,0.46835443037974683,0.4375,0.475,0.4625,0.44208860759493673,0.039587203629902666
29,0,100,0.0007987499237060546,0.0009782657122200734,0.0003995418548583984,0.0004893368434523157,1,4,sigmoid,0.0001,"{'C': 1, 'degree': 4, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.15,0.25,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.2168421052631579,0.061437083552664376,57,0.3924050632911392,0.3670886075949367,0.4375,0.2875,0.3625,0.36939873417721525,0.04884138708895965
26,0,100,0.004487180709838867,0.005490072846287428,0.00059967041015625,0.0004896289092330497,1,3,sigmoid,0.0001,"{'C': 1, 'degree': 3, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.15,0.25,0.3157894736842105,0.21052631578947367,0.15789473684210525,0.2168421052631579,0.061437083552664376,57,0.3924050632911392,0.3670886075949367,0.4375,0.2875,0.3625,0.36939873417721525,0.04884138708895965
25,0,100,0.0,0.0,0.0056132316589355465,0.006948023108074882,1,3,sigmoid,0.001,"{'C': 1, 'degree': 3, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.21052631578947367,0.0,0.0931578947368421,0.08307790956789743,59,0.1518987341772152,0.13924050632911392,0.1625,0.25,0.1875,0.17822784810126582,0.03923726507642672
28,0,100,0.0021986961364746094,0.0003994705960914042,0.0007996082305908204,0.00039980446718623465,1,4,sigmoid,0.001,"{'C': 1, 'degree': 4, 'gamma': 0.001, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.21052631578947367,0.0,0.0931578947368421,0.08307790956789743,59,0.1518987341772152,0.13924050632911392,0.1625,0.25,0.1875,0.17822784810126582,0.03923726507642672
50,0,100,0.0,0.0,0.0,0.0,1,,,1,"{'C': 1, 'gamma': 1}",0.0,0.15,0.10526315789473684,0.15789473684210525,0.0,0.08263157894736842,0.06981574483701233,61,1.0,1.0,1.0,1.0,1.0,1.0,0.0
48,0,100,0.0,0.0,0.0031248092651367187,0.006249618530273437,0.1,,,1,"{'C': 0.1, 'gamma': 1}",0.0,0.15,0.10526315789473684,0.15789473684210525,0.0,0.08263157894736842,0.06981574483701233,61,0.1518987341772152,0.13924050632911392,0.1625,0.275,0.1875,0.18322784810126583,0.04855187421372236
49,0,100,0.003124713897705078,0.006249427795410156,0.0,0.0,0.1,,,10,"{'C': 0.1, 'gamma': 10}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.275,0.1875,0.18322784810126583,0.04855187421372236
24,0,100,0.003124856948852539,0.006249713897705078,0.0,0.0,1,3,sigmoid,0.01,"{'C': 1, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.1375,0.1875,0.15572784810126583,0.018297981725718768
45,0,100,0.003124856948852539,0.006249713897705078,0.0,0.0,1000,4,sigmoid,0.01,"{'C': 1000, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.1375,0.1875,0.15572784810126583,0.018297981725718768
42,0,100,0.003124570846557617,0.006249141693115234,0.0,0.0,1000,3,sigmoid,0.01,"{'C': 1000, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.1375,0.1875,0.15572784810126583,0.018297981725718768
39,0,100,0.0,0.0,0.0,0.0,100,4,sigmoid,0.01,"{'C': 100, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.1375,0.1875,0.15572784810126583,0.018297981725718768
36,0,100,0.003124904632568359,0.0062498092651367175,0.0,0.0,100,3,sigmoid,0.01,"{'C': 100, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.1375,0.1875,0.15572784810126583,0.018297981725718768
33,0,100,0.0,0.0,0.0,0.0,10,4,sigmoid,0.01,"{'C': 10, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.1375,0.1875,0.15572784810126583,0.018297981725718768
30,0,100,0.003124856948852539,0.006249713897705078,0.0,0.0,10,3,sigmoid,0.01,"{'C': 10, 'degree': 3, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.1375,0.1875,0.15572784810126583,0.018297981725718768
27,0,100,0.0017989158630371093,0.0003991376647981314,0.0005997180938720703,0.0004896680595116444,1,4,sigmoid,0.01,"{'C': 1, 'degree': 4, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,0.1518987341772152,0.13924050632911392,0.1625,0.1375,0.1875,0.15572784810126583,0.018297981725718768
51,0,100,0.006249618530273437,0.007654188243106233,0.0,0.0,1,,,10,"{'C': 1, 'gamma': 10}",0.0,0.15,0.10526315789473684,0.0,0.0,0.05105263157894737,0.06410690517298995,63,1.0,1.0,1.0,1.0,1.0,1.0,0.0
